sample	condition
FR109-ETOH-R1	ETOH
FR109-ETOH-R2	ETOH
FR109-ETOH-R3	ETOH
FR109-Non-R1	Non
FR109-Non-R2	Non
FR109-Non-R3	Non
FR112N-ETOH-R1	ETOH
FR112N-ETOH-R2	ETOH
FR112N-ETOH-R3	ETOH
FR112N-Non-R1	Non
FR112N-Non-R2	Non
FR112N-Non-R3	Non
FR113N-ETOH-R1	ETOH
FR113N-ETOH-R2	ETOH
FR113N-ETOH-R3	ETOH
FR113N-Non-R1	Non
FR113N-Non-R2	Non
FR113N-Non-R3	Non
ZI274N-ETOH-R2	ETOH
ZI274N-ETOH-R3-562	ETOH
ZI274N-ETOH-R3-564	ETOH
ZI274N-Non-R2-559	Non
ZI274N-Non-R2-561	Non
ZI274N-Non-R3	Non
ZI31N-ETOH-R1	ETOH
ZI31N-ETOH-R2	ETOH
ZI31N-ETOH-R3	ETOH
ZI31N-Non-R1	Non
ZI31N-Non-R2	Non
ZI31N-Non-R3	Non
ZI418N-ETOH-R1	ETOH
ZI418N-ETOH-R2	ETOH
ZI418N-ETOH-R3	ETOH
ZI418N-Non-R1	Non
ZI418N-Non-R2	Non
ZI418N-Non-R3	Non
