Gene	numberofposfactors	txids	interpolyAdist
FBgn0067779	2	FBtr0306536,FBtr0306538_FBtr0078100,FBtr0306537,FBtr0306539	309
FBgn0002931	2	FBtr0330637_FBtr0290323	563
FBgn0005278	3	FBtr0308091_FBtr0089428,FBtr0089432,FBtr0089436_FBtr0089429,FBtr0089430,FBtr0089431,FBtr0089433,FBtr0089434,FBtr0089435,FBtr0089437,FBtr0330656	NA
FBgn0031220	3	FBtr0100310_FBtr0078157,FBtr0100308,FBtr0100309,FBtr0330646,FBtr0078158,FBtr0078156,FBtr0078159_FBtr0100307	NA
FBgn0001142	2	FBtr0300568_FBtr0078114	477
FBgn0051975	2	FBtr0302195_FBtr0302196	1062
FBgn0016977	3	FBtr0078122,FBtr0306341,FBtr0330652,FBtr0332337_FBtr0078123,FBtr0330653,FBtr0332336_FBtr0078121	NA
FBgn0031233	2	FBtr0078125,FBtr0332338_FBtr0332339	219
FBgn0022246	2	FBtr0078143_FBtr0336990	124
FBgn0031244	2	FBtr0343779,FBtr0078137_FBtr0343780	301
FBgn0031245	2	FBtr0078135_FBtr0078136,FBtr0113009,FBtr0343778	277
FBgn0017457	2	FBtr0078133_FBtr0333408	394
FBgn0020622	2	FBtr0331205_FBtr0331207,FBtr0331208	1299
FBgn0004611	4	FBtr0078047,FBtr0330673,FBtr0330674_FBtr0078048_FBtr0078050_FBtr0078049	NA
FBgn0264855	2	FBtr0089489_FBtr0089488	846
FBgn0002593	2	FBtr0078056_FBtr0331932	167
FBgn0015924	2	FBtr0304741,FBtr0331232,FBtr0078088_FBtr0078087,FBtr0331233	462
FBgn0003963	2	FBtr0310027,FBtr0333012,FBtr0333013_FBtr0078063,FBtr0329895	28
FBgn0010602	3	FBtr0078081,FBtr0310029_FBtr0078082_FBtr0310028	NA
FBgn0005660	2	FBtr0112854,FBtr0078079,FBtr0345429_FBtr0344014	2091
FBgn0031266	2	FBtr0078068_FBtr0332340	191
FBgn0031270	2	FBtr0078071_FBtr0310023	868
FBgn0000497	2	FBtr0343249_FBtr0078045	293
FBgn0031275	3	FBtr0301439_FBtr0078001,FBtr0308257,FBtr0343785,FBtr0343786,FBtr0346526_FBtr0343787	NA
FBgn0010583	2	FBtr0332973_FBtr0078013,FBtr0078014,FBtr0078015	910
FBgn0020304	2	FBtr0334763_FBtr0078037,FBtr0302121,FBtr0302120,FBtr0302612	1283
FBgn0031287	2	FBtr0078034_FBtr0334797	65
FBgn0031288	2	FBtr0078017,FBtr0334795_FBtr0334796	403
FBgn0053526	2	FBtr0091486,FBtr0091487_FBtr0091489,FBtr0332000	2889
FBgn0031292	2	FBtr0332181_FBtr0345634	1009
FBgn0031294	2	FBtr0332270,FBtr0301416_FBtr0301417	3043
FBgn0003310	2	FBtr0077994_FBtr0077993	2118
FBgn0031298	2	FBtr0077953_FBtr0332569	2002
FBgn0031299	2	FBtr0332571_FBtr0332570	157
FBgn0261938	2	FBtr0077989_FBtr0332273	229
FBgn0031306	2	FBtr0077957_FBtr0332271	168
FBgn0031318	2	FBtr0077966_FBtr0331288	93
FBgn0031327	2	FBtr0077920_FBtr0335383	813
FBgn0041097	2	FBtr0077921_FBtr0335384	1909
FBgn0031331	2	FBtr0305552_FBtr0343837	582
FBgn0031332	2	FBtr0343845_FBtr0077948	77
FBgn0053126	2	FBtr0077942,FBtr0329947_FBtr0343844	146
FBgn0031344	2	FBtr0077933_FBtr0334820	51
FBgn0021906	3	FBtr0077915_FBtr0334843_FBtr0334842	NA
FBgn0086758	3	FBtr0077878_FBtr0077877,FBtr0303933,FBtr0303934,FBtr0303935_FBtr0307047	NA
FBgn0011570	2	FBtr0077881_FBtr0331630	185
FBgn0031357	2	FBtr0333542_FBtr0077882	100
FBgn0086698	2	FBtr0333544_FBtr0077911,FBtr0333545	298
FBgn0031359	2	FBtr0077910_FBtr0305618,FBtr0306167	655
FBgn0000579	3	FBtr0302115_FBtr0077909,FBtr0077907,FBtr0077908,FBtr0077905_FBtr0077906	NA
FBgn0031361	2	FBtr0077904_FBtr0333543	325
FBgn0051664	2	FBtr0303377_FBtr0334829	101
FBgn0031374	4	FBtr0113012,FBtr0333007_FBtr0077811,FBtr0309828,FBtr0333006_FBtr0110882,FBtr0110883_FBtr0113011	NA
FBgn0043539	2	FBtr0100503_FBtr0334760	324
FBgn0040717	2	FBtr0077817_FBtr0334759	106
FBgn0031384	2	FBtr0301066,FBtr0301067,FBtr0301068,FBtr0330671,FBtr0330672_FBtr0334773,FBtr0334774	252
FBgn0003557	2	FBtr0334778,FBtr0339529_FBtr0077822,FBtr0077823,FBtr0077824	695
FBgn0028952	2	FBtr0310547_FBtr0077825	52
FBgn0053516	3	FBtr0334782_FBtr0300671_FBtr0334783	NA
FBgn0031389	2	FBtr0077854_FBtr0334781	903
FBgn0004507	2	FBtr0100485_FBtr0077828	253
FBgn0031391	2	FBtr0077852_FBtr0334813	200
FBgn0031392	2	FBtr0077831_FBtr0077830,FBtr0330657	284
FBgn0000097	3	FBtr0330660_FBtr0330659_FBtr0077851,FBtr0077850,FBtr0330658	NA
FBgn0031397	2	FBtr0331649_FBtr0077845	372
FBgn0267378	2	FBtr0100674_FBtr0077840,FBtr0100673	686
FBgn0262126	2	FBtr0077810,FBtr0329965_FBtr0329964	672
FBgn0264979	2	FBtr0077751_FBtr0335159	860
FBgn0031407	2	FBtr0077755_FBtr0077754	156
FBgn0031413	2	FBtr0077799_FBtr0100648,FBtr0333226	37
FBgn0031414	2	FBtr0344662_FBtr0344663	777
FBgn0014010	2	FBtr0330670,FBtr0077798,FBtr0077795,FBtr0330668,FBtr0077794,FBtr0330669,FBtr0077793_FBtr0077797,FBtr0077796	424
FBgn0031420	2	FBtr0077766,FBtr0331438_FBtr0077765,FBtr0331437	238
FBgn0031428	2	FBtr0077770_FBtr0335462	1737
FBgn0264978	2	FBtr0077782_FBtr0335169	2023
